Tarih;Saat;PTF;SMF;Pozitif Dengesizlik Fiyatı (TL/MWh);Negatif Dengesizlik Fiyatı (TL/MWh);SMF Yön
01.01.2024;00:00;1.299,98;560,00;543,20;1.338,98;Enerji Fazlası
01.01.2024;01:00;1.299,98;1.299,98;1.260,98;1.338,98;Enerji Fazlası
01.01.2024;02:00;1.248,54;1.248,54;1.211,08;1.286,00;Enerji Fazlası
01.01.2024;03:00;1.299,98;1.250,00;1.212,50;1.338,98;Enerji Fazlası
01.01.2024;04:00;1.200,00;1.150,00;1.115,50;1.236,00;Enerji Fazlası
01.01.2024;05:00;1.200,00;1.200,00;1.164,00;1.236,00;Enerji Fazlası
01.01.2024;06:00;1.248,54;1.248,54;1.211,08;1.286,00;Dengede
01.01.2024;07:00;1.299,99;1.299,99;1.260,99;1.338,99;Enerji Fazlası
01.01.2024;08:00;1.299,99;499,99;484,99;1.338,99;Enerji Fazlası
01.01.2024;09:00;1.399,98;5,00;4,85;1.441,98;Enerji Fazlası
01.01.2024;10:00;1.299,99;1,20;1,16;1.338,99;Enerji Fazlası
01.01.2024;11:00;1.200,00;1,19;1,15;1.236,00;Enerji Fazlası
01.01.2024;12:00;1.000,00;1,88;1,82;1.030,00;Enerji Fazlası
01.01.2024;13:00;1.199,99;500,00;485,00;1.235,99;Enerji Fazlası
01.01.2024;14:00;1.299,98;1.299,98;1.260,98;1.338,98;Dengede
01.01.2024;15:00;1.299,98;1.299,98;1.260,98;1.338,98;Enerji Fazlası
01.01.2024;16:00;1.915,15;2.400,00;1.857,70;2.472,00;Enerji Açığı
01.01.2024;17:00;2.525,00;2.525,00;2.449,25;2.600,75;Enerji Açığı
01.01.2024;18:00;2.601,44;2.601,44;2.523,40;2.679,48;Enerji Açığı
01.01.2024;19:00;2.200,01;2.200,01;2.134,01;2.266,01;Dengede
01.01.2024;20:00;1.999,99;1.861,00;1.805,17;2.059,99;Enerji Fazlası
01.01.2024;21:00;1.615,00;700,00;679,00;1.663,45;Enerji Fazlası
01.01.2024;22:00;1.299,98;630,00;611,10;1.338,98;Enerji Fazlası
01.01.2024;23:00;913,64;100,00;97,00;941,05;Enerji Fazlası
02.01.2024;00:00;1.299,99;560,00;543,20;1.338,99;Enerji Fazlası
02.01.2024;01:00;1.299,99;500,00;485,00;1.338,99;Enerji Fazlası
02.01.2024;02:00;1.285,81;30,00;29,10;1.324,38;Enerji Fazlası
02.01.2024;03:00;1.299,98;450,00;436,50;1.338,98;Enerji Fazlası
02.01.2024;04:00;1.285,82;560,00;543,20;1.324,39;Enerji Fazlası
02.01.2024;05:00;1.285,82;560,00;543,20;1.324,39;Enerji Fazlası
02.01.2024;06:00;1.285,81;700,00;679,00;1.324,38;Enerji Fazlası
02.01.2024;07:00;1.799,99;1.559,99;1.513,19;1.853,99;Enerji Fazlası
02.01.2024;08:00;2.649,00;1.648,00;1.598,56;2.728,47;Enerji Fazlası
02.01.2024;09:00;2.700,00;2.200,00;2.134,00;2.781,00;Enerji Fazlası
02.01.2024;10:00;2.398,00;2.028,00;1.967,16;2.469,94;Enerji Fazlası
02.01.2024;11:00;2.399,98;2.399,98;2.327,98;2.471,98;Enerji Açığı
02.01.2024;12:00;1.974,00;1.974,00;1.914,78;2.033,22;Dengede
02.01.2024;13:00;2.049,99;2.178,00;1.988,49;2.243,34;Enerji Açığı
02.01.2024;14:00;2.248,00;2.500,00;2.180,56;2.575,00;Enerji Açığı
02.01.2024;15:00;2.300,00;2.600,00;2.231,00;2.678,00;Enerji Açığı
02.01.2024;16:00;2.525,00;2.689,00;2.449,25;2.769,67;Enerji Açığı
02.01.2024;17:00;2.700,00;2.700,00;2.619,00;2.781,00;Enerji Açığı
02.01.2024;18:00;2.700,00;2.600,00;2.522,00;2.781,00;Enerji Fazlası
02.01.2024;19:00;2.500,01;2.102,01;2.038,95;2.575,01;Enerji Fazlası
02.01.2024;20:00;2.482,00;2.083,11;2.020,62;2.556,46;Enerji Fazlası
02.01.2024;21:00;2.481,99;1.950,00;1.891,50;2.556,45;Enerji Fazlası
02.01.2024;22:00;2.298,01;1.700,00;1.649,00;2.366,95;Enerji Fazlası
02.01.2024;23:00;2.198,00;1.698,00;1.647,06;2.263,94;Enerji Fazlası
03.01.2024;00:00;2.325,00;2.389,00;2.255,25;2.460,67;Enerji Açığı
03.01.2024;01:00;2.248,00;2.248,00;2.180,56;2.315,44;Enerji Açığı
03.01.2024;02:00;2.188,00;2.188,00;2.122,36;2.253,64;Enerji Açığı
03.01.2024;03:00;2.188,00;2.188,00;2.122,36;2.253,64;Dengede
03.01.2024;04:00;2.098,00;2.098,00;2.035,06;2.160,94;Enerji Fazlası
03.01.2024;05:00;1.449,98;700,00;679,00;1.493,48;Enerji Fazlası
03.01.2024;06:00;1.349,99;1.100,00;1.067,00;1.390,49;Enerji Fazlası
03.01.2024;07:00;2.110,66;1.297,00;1.258,09;2.173,98;Enerji Fazlası
03.01.2024;08:00;2.649,00;2.649,00;2.569,53;2.728,47;Enerji Açığı
03.01.2024;09:00;2.690,02;2.693,03;2.609,32;2.773,82;Enerji Açığı
03.01.2024;10:00;2.379,99;2.394,00;2.308,59;2.465,82;Enerji Açığı
03.01.2024;11:00;2.288,00;2.394,00;2.219,36;2.465,82;Enerji Açığı
03.01.2024;12:00;1.349,99;1.649,99;1.309,49;1.699,49;Enerji Açığı
03.01.2024;13:00;1.449,99;1.949,99;1.406,49;2.008,49;Enerji Açığı
03.01.2024;14:00;2.146,78;2.394,00;2.082,38;2.465,82;Enerji Açığı
03.01.2024;15:00;2.288,01;2.394,00;2.219,37;2.465,82;Enerji Açığı
03.01.2024;16:00;2.380,00;1.912,00;1.854,64;2.451,40;Enerji Fazlası
03.01.2024;17:00;2.600,00;2.600,00;2.522,00;2.678,00;Enerji Açığı
03.01.2024;18:00;2.594,00;2.689,00;2.516,18;2.769,67;Enerji Açığı
03.01.2024;19:00;2.299,98;2.689,00;2.230,98;2.769,67;Enerji Açığı
03.01.2024;20:00;1.968,00;2.650,00;1.908,96;2.729,50;Enerji Açığı
03.01.2024;21:00;2.288,01;2.644,00;2.219,37;2.723,32;Enerji Açığı
03.01.2024;22:00;2.185,01;1.551,00;1.504,47;2.250,56;Enerji Fazlası
03.01.2024;23:00;1.998,00;700,00;679,00;2.057,94;Enerji Fazlası
04.01.2024;00:00;2.199,99;1.078,00;1.045,66;2.265,99;Enerji Fazlası
04.01.2024;01:00;1.608,48;1.608,48;1.560,23;1.656,73;Enerji Fazlası
04.01.2024;02:00;1.248,99;1.248,99;1.211,52;1.286,46;Enerji Fazlası
04.01.2024;03:00;1.184,35;1.184,35;1.148,82;1.219,88;Dengede
04.01.2024;04:00;1.248,98;1.248,98;1.211,51;1.286,45;Dengede
04.01.2024;05:00;1.449,99;1.449,99;1.406,49;1.493,49;Dengede
04.01.2024;06:00;2.240,00;2.290,00;2.172,80;2.358,70;Enerji Açığı
04.01.2024;07:00;2.148,00;2.148,00;2.083,56;2.212,44;Enerji Açığı
04.01.2024;08:00;2.600,00;2.693,01;2.522,00;2.773,80;Enerji Açığı
04.01.2024;09:00;2.689,01;2.694,00;2.608,34;2.774,82;Enerji Açığı
04.01.2024;10:00;2.599,99;2.693,05;2.521,99;2.773,84;Enerji Açığı
04.01.2024;11:00;2.626,26;2.694,00;2.547,47;2.774,82;Enerji Açığı
04.01.2024;12:00;2.249,00;2.650,00;2.181,53;2.729,50;Enerji Açığı
04.01.2024;13:00;2.150,01;2.649,00;2.085,51;2.728,47;Enerji Açığı
04.01.2024;14:00;1.895,00;2.599,99;1.838,15;2.677,99;Enerji Açığı
04.01.2024;15:00;2.148,01;2.600,00;2.083,57;2.678,00;Enerji Açığı
04.01.2024;16:00;2.348,01;2.649,00;2.277,57;2.728,47;Enerji Açığı
04.01.2024;17:00;2.613,64;2.678,00;2.535,23;2.758,34;Enerji Açığı
04.01.2024;18:00;2.521,90;2.598,00;2.446,24;2.675,94;Enerji Açığı
04.01.2024;19:00;2.208,01;2.208,01;2.141,77;2.274,25;Dengede
04.01.2024;20:00;2.348,00;2.348,00;2.277,56;2.418,44;Enerji Fazlası
04.01.2024;21:00;2.360,00;2.360,00;2.289,20;2.430,80;Enerji Fazlası
04.01.2024;22:00;2.015,00;2.015,00;1.954,55;2.075,45;Dengede
04.01.2024;23:00;1.349,99;1.349,99;1.309,49;1.390,49;Enerji Fazlası
05.01.2024;00:00;1.349,99;849,99;824,49;1.390,49;Enerji Fazlası
05.01.2024;01:00;1.694,17;800,00;776,00;1.745,00;Enerji Fazlası
05.01.2024;02:00;1.800,01;700,00;679,00;1.854,01;Enerji Fazlası
05.01.2024;03:00;1.999,99;700,00;679,00;2.059,99;Enerji Fazlası
05.01.2024;04:00;2.250,01;700,00;679,00;2.317,51;Enerji Fazlası
05.01.2024;05:00;2.295,00;700,00;679,00;2.363,85;Enerji Fazlası
05.01.2024;06:00;2.325,00;1.411,00;1.368,67;2.394,75;Enerji Fazlası
05.01.2024;07:00;2.288,01;1.111,00;1.077,67;2.356,65;Enerji Fazlası
05.01.2024;08:00;2.584,01;1.888,00;1.831,36;2.661,53;Enerji Fazlası
05.01.2024;09:00;2.689,00;2.693,01;2.608,33;2.773,80;Enerji Açığı
05.01.2024;10:00;2.469,21;1.851,00;1.795,47;2.543,29;Enerji Fazlası
05.01.2024;11:00;2.549,00;2.549,00;2.472,53;2.625,47;Enerji Fazlası
05.01.2024;12:00;2.124,00;1.651,00;1.601,47;2.187,72;Enerji Fazlası
05.01.2024;13:00;2.015,00;560,00;543,20;2.075,45;Enerji Fazlası
05.01.2024;14:00;2.448,00;1.200,00;1.164,00;2.521,44;Enerji Fazlası
05.01.2024;15:00;2.399,99;1.111,00;1.077,67;2.471,99;Enerji Fazlası
05.01.2024;16:00;2.625,00;1.306,00;1.266,82;2.703,75;Enerji Fazlası
05.01.2024;17:00;2.700,00;1.900,00;1.843,00;2.781,00;Enerji Fazlası
05.01.2024;18:00;2.700,00;2.100,00;2.037,00;2.781,00;Enerji Fazlası
05.01.2024;19:00;2.689,00;2.100,00;2.037,00;2.769,67;Enerji Fazlası
05.01.2024;20:00;2.649,00;2.100,00;2.037,00;2.728,47;Enerji Fazlası
05.01.2024;21:00;2.452,00;1.851,00;1.795,47;2.525,56;Enerji Fazlası
05.01.2024;22:00;2.294,01;1.794,01;1.740,19;2.362,83;Enerji Fazlası
05.01.2024;23:00;2.288,01;1.851,00;1.795,47;2.356,65;Enerji Fazlası
06.01.2024;00:00;2.295,00;1.751,00;1.698,47;2.363,85;Enerji Fazlası
06.01.2024;01:00;2.247,99;1.800,00;1.746,00;2.315,43;Enerji Fazlası
06.01.2024;02:00;2.295,32;2.295,32;2.226,46;2.364,18;Enerji Fazlası
06.01.2024;03:00;2.149,98;2.149,98;2.085,48;2.214,48;Enerji Fazlası
06.01.2024;04:00;2.015,00;1.616,00;1.567,52;2.075,45;Enerji Fazlası
